_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
0,,,,,也许,,,,,,,,,,,
1,DaryLS,克拉格的住所,5.0,15.0,测试,,,,,,,,,,,
2,CCnono,,4.0,11.0,智能手机,,,,,,,,,,,
3,Dominic,,1.0,2.0,点击,,,,,,,,,,,
4,Jerry,,3.0,5.0,无,,,,,,,,,,,
5,Admin,,15.0,22.0,电子邮箱,,,,,,,,,,,
6,七七,,,,无,,,,,,,,,,,
7,leshu,,5.0,10.0,还有,,,,,,,,,,,
8,iii,,1.0,2.0,朋友,,,,,,,,,,,
9,N_N,,,,无,,,,,,,,,,,
10,学习之星黄迪晨,,,,无,,,,,,,,,,,
11,metabeing,,3.0,6.0,还有,,,,,,,,,,,
12,excalibur,,,,无,,,,,,,,,,,
13,Gllaucus,,,,无,,,,,,,,,,,
14,jflam,,,,无,,,,,,,,,,,
15,有事说话,,1.0,2.0,玩,,,,,,,,,,,
16,Nathan,,,,无,,,,,,,,,,,
17,guluglu,,,,无,,,,,,,,,,,
18,蓝红水,,,,无,,,,,,,,,,,
19,Weeknd,,,,无,,,,,,,,,,,
20,Alicia,,,,无,,,,,,,,,,,
21,Afirmiana,,1.0,2.0,起来,,,,,,,,,,,
22,Shirley,,,,无,,,,,,,,,,,
23,盐焗土豆_,,2.0,4.0,不会,,,,,,,,,,,
24,shrimp,,1.0,2.0,留给,,,,,,,,,,,
25,前锦似海,,1.0,2.0,都,,,,,,,,,,,
26,Jojo姐,,,,无,,,,,,,,,,,
27,panlis,,,,无,,,,,,,,,,,
28,6F9,"Bilbao, España",5430.0,4268224551293.0,想要,,,,,,,,,,,
29,830,,2.0,0.0,爱,,,,,,,,,,,
30,A4A,,11.0,14.0,有趣,,,,,,,,,,,
31,1a0,Brisbane,2977.0,16974.0,父亲,,,,,,,,,,,
32,bdf,"California, USA",2875.0,7956.0,很棒,,,,,,,,,,,
33,e36,,2.0,1.0,布防,,,,,,,,,,,
34,7FE,,4318.0,1560.0,出来,,,,,,,,,,,
35,5aa,,2.0,0.0,没有,,,,,,,,,,,
36,F0B,,108.0,19.0,拥有,,,,,,,,,,,
37,da6,,1333.0,1.0,查看,,,,,,,,,,,
38,134,,1.0,0.0,无,,,,,,,,,,,
39,894,osaka,11768.0,40082.0,先生,,,,,,,,,,,
40,223,,1.0,4518.0,大,,,,,,,,,,,
41,130,,1115.0,2311.0,无法,,,,,,,,,,,
42,049,,38.0,2.0,出来,,,,,,,,,,,
